Country,Bulan,Revenue_Member,Revenue_Guest
Australia,1/10/20,81.6,0
Australia,1/11/20,462.5,0
Australia,1/14/20,177.0,0
Australia,1/17/20,431.3,0
Australia,1/19/20,238.5,0
Australia,1/20/20,87.75,0
Australia,1/28/20,384.68,0
Australia,1/6/201,7154.38,0
Australia,10/5/20,16471.77,0
Australia,10/6/20,678.76,0
Australia,11/15/2,5355.4,0
Australia,11/2/20,450.24,0
Australia,11/24/2,286.4,0
Australia,11/3/20,375.24,0
Australia,11/4/20,338.71,0
Australia,12/1/20,358.25,0
Australia,12/14/2,-27.75,0
Australia,12/17/2,415.7,0
Australia,12/8/20,258.9,0
Australia,2/15/20,14022.92,0
Australia,2/27/20,412.55,0
Australia,2/7/201,192.0,0
Australia,3/24/20,286.25,0
Australia,3/3/201,16558.14,0
Australia,3/9/201,210.9,0
Australia,4/1/201,350.0,0
Australia,4/28/20,-425.0,0
Australia,4/4/201,-13.2,0
Australia,4/8/201,421.6,0
Australia,5/12/20,475.16,0
Australia,5/17/20,11924.8,0
Australia,5/20/20,766.36,0
Australia,5/23/20,472.09,0
Australia,5/31/20,-9.9,0
Australia,6/15/20,23426.81,0
Australia,6/2/201,-23.0,0
Australia,6/30/20,1760.96,0
Australia,7/13/20,2796.36,0
Australia,7/14/20,902.09,0
Australia,7/19/20,483.02,0
Australia,7/24/20,505.46,0
Australia,7/26/20,80.64,0
Australia,8/12/20,608.76,0
Australia,8/18/20,21880.44,0
Australia,9/1/201,2941.72,0
Australia,9/16/20,519.89,0
Australia,9/25/20,825.92,0
Australia,9/28/20,596.5,0
Australia,9/5/201,147.7,0
Austria,10/18/2,1043.78,0
Austria,11/13/2,586.85,0
Austria,11/14/2,742.93,0
Austria,12/15/2,-20.16,0
Austria,12/17/2,277.2,0
Austria,12/8/20,683.2,0
Austria,2/1/201,364.6,0
Austria,2/2/201,153.76,0
Austria,3/23/20,1542.08,0
Austria,3/3/201,166.04,0
Austria,4/26/20,680.78,0
Austria,5/23/20,1083.58,0
Austria,5/6/201,165.85,0
Austria,6/14/20,-24.2,0
Austria,7/12/20,484.86,0
Austria,7/28/20,707.09,0
Austria,8/19/20,534.7,0
Austria,8/8/201,981.38,0
Bahrain,1/5/201,0,-205.74
Bahrain,12/20/2,0,205.74
Bahrain,5/19/20,89.0,0
Bahrain,5/9/201,459.4,0
Belgium,1/12/20,651.16,0
Belgium,1/19/20,-11.25,0
Belgium,1/20/20,225.6,0
Belgium,1/25/20,323.44,0
Belgium,1/5/201,-2.95,0
Belgium,1/6/201,-31.95,0
Belgium,10/10/2,332.68,0
Belgium,10/11/2,355.8,0
Belgium,10/13/2,1491.59,0
Belgium,10/14/2,450.86,0
Belgium,10/17/2,358.99,0
Belgium,10/21/2,300.76,0
Belgium,10/24/2,-34.0,0
Belgium,10/26/2,786.95,0
Belgium,10/28/2,499.16,0
Belgium,10/30/2,299.06,0
Belgium,10/31/2,462.85,0
Belgium,10/4/20,346.68,0
Belgium,11/10/2,-19.95,0
Belgium,11/17/2,1492.31,0
Belgium,11/18/2,1040.39,0
Belgium,11/20/2,265.83,0
Belgium,11/22/2,301.25,0
Belgium,11/24/2,-2.55,0
Belgium,11/28/2,-48.85,0
Belgium,11/29/2,281.9,0
Belgium,11/4/20,1673.03,0
Belgium,11/7/20,739.5,0
Belgium,11/8/20,506.55,0
Belgium,12/17/2,625.16,0
Belgium,12/2/20,302.02,0
Belgium,12/21/2,237.93,0
Belgium,12/22/2,600.72,0
Belgium,12/3/20,346.1,0
Belgium,12/6/20,898.77,0
Belgium,12/9/20,208.64,0
Belgium,2/11/20,231.51,0
Belgium,2/17/20,1119.2,0
Belgium,2/18/20,-14.85,0
Belgium,2/21/20,192.31,0
Belgium,2/24/20,-4.9,0
Belgium,2/25/20,189.9,0
Belgium,2/28/20,149.95,0
Belgium,2/3/201,213.9,0
Belgium,2/9/201,84.3,0
Belgium,3/1/201,559.12,0
Belgium,3/10/20,-18.4,0
Belgium,3/14/20,357.07,0
Belgium,3/20/20,226.3,0
Belgium,3/21/20,347.35,0
Belgium,3/23/20,614.55,0
Belgium,3/24/20,837.59,0
Belgium,3/3/201,410.0,0
Belgium,4/10/20,476.49,0
Belgium,4/12/20,344.57,0
Belgium,4/15/20,142.16,0
Belgium,4/18/20,269.66,0
Belgium,4/28/20,495.24,0
Belgium,4/7/201,240.88,0
Belgium,4/8/201,-14.85,0
Belgium,5/10/20,480.9,0
Belgium,5/12/20,181.82,0
Belgium,5/17/20,297.38,0
Belgium,5/23/20,514.82,0
Belgium,5/24/20,-5.4,0
Belgium,5/27/20,726.43,0
Belgium,5/5/201,149.97,0
Belgium,5/6/201,381.08,0
Belgium,6/1/201,84.92,0
Belgium,6/17/20,992.02,0
Belgium,6/22/20,459.84,0
Belgium,6/23/20,440.94,0
Belgium,6/29/20,-1.65,0
Belgium,6/30/20,163.9,0
Belgium,6/5/201,1296.12,0
Belgium,6/7/201,607.55,0
Belgium,6/8/201,99.45,0
Belgium,6/9/201,130.08,0
Belgium,7/13/20,45.6,0
Belgium,7/27/20,1214.81,0
Belgium,7/28/20,192.34,0
Belgium,7/6/201,719.06,0
Belgium,7/7/201,301.81,0
Belgium,8/11/20,469.25,0
Belgium,8/12/20,209.62,0
Belgium,8/19/20,771.97,0
Belgium,8/2/201,777.95,0
Belgium,8/25/20,752.79,0
Belgium,8/31/20,198.98,0
Belgium,8/4/201,355.56,0
Belgium,9/19/20,392.4,0
Belgium,9/2/201,632.08,0
Belgium,9/21/20,549.84,0
Belgium,9/22/20,705.81,0
Belgium,9/28/20,829.99,0
Belgium,9/9/201,1087.7,0
Brazil,4/15/20,1143.6,0
Canada,3/14/20,140.54,0
Canada,5/4/201,534.24,0
Canada,6/20/20,1171.46,0
Canada,7/11/20,1217.64,0
Canada,7/15/20,550.94,0
Canada,8/25/20,51.56,0
"Channel Islands",1/27/20,675.58,0
"Channel Islands",1/31/20,-30.5,0
"Channel Islands",10/14/2,862.32,0
"Channel Islands",10/5/20,1761.0,0
"Channel Islands",11/17/2,211.63,0
"Channel Islands",11/30/2,-19.6,0
"Channel Islands",11/6/20,1303.14,0
"Channel Islands",12/5/20,198.4,0
"Channel Islands",12/8/20,-4.25,0
"Channel Islands",12/9/20,363.53,0
"Channel Islands",2/15/20,1784.71,0
"Channel Islands",3/10/20,1104.13,0
"Channel Islands",3/2/201,828.84,0
"Channel Islands",3/9/201,1576.36,0
"Channel Islands",4/13/20,293.0,0
"Channel Islands",5/17/20,0.0,0
"Channel Islands",5/19/20,914.24,0
"Channel Islands",5/25/20,-10.45,0
"Channel Islands",6/17/20,2060.03,0
"Channel Islands",8/1/201,759.56,0
"Channel Islands",8/18/20,-4.25,0
"Channel Islands",8/21/20,1432.0,0
"Channel Islands",8/23/20,2705.22,0
"Channel Islands",9/19/20,1062.1,0
"Channel Islands",9/26/20,261.65,0
"Channel Islands",9/28/20,-2.1,0
Cyprus,1/12/20,547.5,0
Cyprus,10/13/2,2876.85,0
Cyprus,10/19/2,739.28,0
Cyprus,10/4/20,0.0,0
Cyprus,10/7/20,600.39,0
Cyprus,11/18/2,460.89,0
Cyprus,12/14/2,1590.82,0
Cyprus,12/2/20,-91.25,0
Cyprus,2/16/20,1683.9,0
Cyprus,2/17/20,15.0,0
Cyprus,2/21/20,320.69,0
Cyprus,2/7/201,1993.96,0
Cyprus,3/10/20,938.39,0
Cyprus,4/13/20,-35.8,0
Cyprus,6/3/201,1109.32,0
Cyprus,9/19/20,196.35,0
"Czech Republic",10/7/20,277.48,0
"Czech Republic",11/18/2,-61.51,0
"Czech Republic",2/28/20,549.26,0
"Czech Republic",4/1/201,-57.51,0
Denmark,10/11/2,171.66,0
Denmark,10/17/2,-34.65,0
Denmark,10/21/2,409.7,0
Denmark,10/7/20,891.4,0
Denmark,11/17/2,1794.05,0
Denmark,11/30/2,905.52,0
Denmark,12/5/20,168.9,0
Denmark,12/9/20,1281.5,0
Denmark,2/16/20,399.22,0
Denmark,3/17/20,3978.99,0
Denmark,5/11/20,515.7,0
Denmark,6/20/20,1125.4,0
Denmark,6/23/20,514.5,0
Denmark,6/9/201,1621.25,0
Denmark,7/25/20,376.24,0
Denmark,8/10/20,213.15,0
Denmark,8/9/201,-134.55,0
Denmark,9/21/20,3850.9,0
Denmark,9/26/20,336.14,0
Denmark,9/29/20,383.12,0
EIRE,1/10/20,0,-15.0
EIRE,1/14/20,16774.72,0
EIRE,1/18/20,465.58,0
EIRE,1/20/20,2756.84,0
EIRE,1/24/20,282.44,0
EIRE,1/26/20,802.56,0
EIRE,1/27/20,564.05,0
EIRE,1/5/201,-232.67,0
EIRE,1/9/201,258.0,0
EIRE,10/10/2,3160.78,0
EIRE,10/11/2,1575.79,0
EIRE,10/12/2,1422.76,0
EIRE,10/14/2,406.84,0
EIRE,10/17/2,5449.12,0
EIRE,10/18/2,1512.17,0
EIRE,10/19/2,1588.75,0
EIRE,10/20/2,3566.45,0
EIRE,10/21/2,1680.03,0
EIRE,10/24/2,618.82,0
EIRE,10/27/2,-97.9,0
EIRE,10/30/2,501.66,0
EIRE,10/31/2,596.91,0
EIRE,10/6/20,421.3,0
EIRE,10/7/20,904.14,0
EIRE,11/1/20,2047.05,0
EIRE,11/10/2,1003.03,0
EIRE,11/11/2,2506.77,0
EIRE,11/13/2,3353.93,1100.51
EIRE,11/14/2,348.21,0
EIRE,11/15/2,2246.31,0
EIRE,11/16/2,4741.78,164.51
EIRE,11/17/2,1602.42,0
EIRE,11/18/2,683.01,0
EIRE,11/2/20,-16.75,0
EIRE,11/20/2,917.54,0
EIRE,11/21/2,900.6,0
EIRE,11/22/2,2032.32,0
EIRE,11/23/2,147.48,0
EIRE,11/24/2,207.14,0
EIRE,11/25/2,293.79,0
EIRE,11/27/2,829.91,0
EIRE,11/28/2,1878.83,0
EIRE,11/30/2,1594.64,0
EIRE,11/4/20,-100.36,0
EIRE,11/7/20,1157.33,0
EIRE,11/8/20,-37.09,0
EIRE,11/9/20,810.14,0
EIRE,12/1/20,1229.78,346.67
EIRE,12/10/2,1156.05,0
EIRE,12/16/2,486.56,0
EIRE,12/17/2,753.74,670.38
EIRE,12/19/2,411.1,0
EIRE,12/2/20,15.0,0
EIRE,12/20/2,-760.31,0
EIRE,12/21/2,762.3,0
EIRE,12/23/2,289.85,-15.0
EIRE,12/3/20,2027.85,549.0
EIRE,12/4/20,773.54,0
EIRE,12/5/20,587.4,0
EIRE,12/6/20,1182.5,0
EIRE,12/7/20,3856.89,0
EIRE,12/8/20,1084.14,0
EIRE,12/9/20,945.55,0
EIRE,2/1/201,797.77,0
EIRE,2/14/20,2024.57,1096.14
EIRE,2/15/20,4362.5,0
EIRE,2/17/20,281.12,0
EIRE,2/18/20,162.7,0
EIRE,2/2/201,0,15.0
EIRE,2/21/20,0,1011.08
EIRE,2/23/20,1480.2,0
EIRE,2/25/20,-2548.8,0
EIRE,2/3/201,788.06,0
EIRE,2/4/201,229.6,0
EIRE,2/8/201,-25.8,0
EIRE,3/1/201,2541.15,0
EIRE,3/10/20,6162.02,0
EIRE,3/11/20,0.0,0
EIRE,3/14/20,1825.25,0
EIRE,3/15/20,3389.6,0
EIRE,3/17/20,376.83,0
EIRE,3/18/20,743.71,0
EIRE,3/20/20,197.8,0
EIRE,3/24/20,415.45,0
EIRE,3/25/20,750.37,0
EIRE,3/27/20,-24.79,0
EIRE,3/28/20,539.0,0
EIRE,3/29/20,0,523.15
EIRE,3/3/201,0,-10.2
EIRE,3/31/20,168.4,0
EIRE,3/4/201,1185.49,0
EIRE,4/1/201,1407.19,0
EIRE,4/11/20,998.53,0
EIRE,4/17/20,446.74,0
EIRE,4/19/20,367.62,0
EIRE,4/27/20,362.9,0
EIRE,4/4/201,2448.12,0
EIRE,4/6/201,955.99,0
EIRE,4/7/201,583.41,0
EIRE,5/10/20,0,810.45
EIRE,5/15/20,603.78,0
EIRE,5/16/20,4615.36,0
EIRE,5/17/20,-51.36,1216.12
EIRE,5/18/20,1414.36,0
EIRE,5/19/20,1203.8,0
EIRE,5/20/20,380.32,0
EIRE,5/23/20,1007.75,0
EIRE,5/24/20,-20.3,0
EIRE,5/26/20,488.24,0
EIRE,5/3/201,1164.21,0
EIRE,5/5/201,356.91,0
EIRE,5/6/201,3869.18,0
EIRE,5/8/201,862.53,0
EIRE,6/1/201,-7.5,0
EIRE,6/13/20,821.32,0
EIRE,6/15/20,4483.58,0
EIRE,6/16/20,1012.86,0
EIRE,6/17/20,626.13,0
EIRE,6/19/20,303.3,0
EIRE,6/20/20,0,0
EIRE,6/21/20,147.4,-1114.84
EIRE,6/22/20,1019.2,0
EIRE,6/23/20,366.6,0
EIRE,6/24/20,1000.31,542.2
EIRE,6/27/20,816.32,0
EIRE,6/29/20,2928.89,810.1
EIRE,6/30/20,756.36,0
EIRE,6/6/201,958.12,0
EIRE,6/7/201,254.31,0
EIRE,6/8/201,3351.32,0
EIRE,6/9/201,984.27,0
EIRE,7/1/201,1794.18,0
EIRE,7/14/20,1802.07,-5.9
EIRE,7/18/20,800.46,277.07
EIRE,7/19/20,13566.39,0
EIRE,7/21/20,1338.29,0
EIRE,7/26/20,396.77,-12.3
EIRE,7/27/20,764.51,0
EIRE,7/28/20,4969.32,436.83
EIRE,7/29/20,728.94,0
EIRE,7/31/20,14520.37,0
EIRE,7/4/201,0,1170.8
EIRE,7/5/201,205.6,0
EIRE,7/8/201,-12.75,0
EIRE,8/10/20,131.87,0
EIRE,8/11/20,1672.4,0
EIRE,8/12/20,2165.63,0
EIRE,8/14/20,-434.51,0
EIRE,8/15/20,467.42,0
EIRE,8/16/20,-63.94,0
EIRE,8/17/20,1578.69,619.35
EIRE,8/18/20,49.93,0
EIRE,8/19/20,989.49,0
EIRE,8/21/20,458.9,0
EIRE,8/23/20,42.5,767.02
EIRE,8/26/20,1452.16,0
EIRE,8/30/20,-132.23,0
EIRE,8/4/201,0.0,0
EIRE,8/5/201,1572.73,0
EIRE,8/8/201,829.96,-9.9
EIRE,9/1/201,3880.56,0
EIRE,9/14/20,744.91,0
EIRE,9/15/20,678.83,0
EIRE,9/19/20,644.33,0
EIRE,9/2/201,749.13,0
EIRE,9/20/20,1798.39,-36.75
EIRE,9/21/20,381.22,0
EIRE,9/22/20,1254.42,0
EIRE,9/23/20,3498.75,0
EIRE,9/26/20,1156.14,0
EIRE,9/27/20,772.95,0
EIRE,9/28/20,2334.49,0
EIRE,9/30/20,6163.84,0
EIRE,9/4/201,629.04,0
EIRE,9/5/201,8343.86,0
EIRE,9/6/201,4234.19,0
EIRE,9/7/201,3415.29,0
EIRE,9/8/201,0,2091.06
EIRE,9/9/201,-89.65,0
"European Community",4/26/20,191.4,0
"European Community",6/10/20,-8.5,0
"European Community",6/5/201,387.05,0
"European Community",6/6/201,45.0,0
"European Community",7/21/20,676.8,0
Finland,1/21/20,661.58,0
Finland,1/25/20,227.44,0
Finland,10/12/2,936.93,0
Finland,10/13/2,640.5,0
Finland,10/27/2,701.79,0
Finland,10/31/2,214.9,0
Finland,10/4/20,310.0,0
Finland,11/14/2,408.34,0
Finland,11/17/2,194.33,0
Finland,11/23/2,310.0,0
Finland,11/29/2,227.2,0
Finland,11/30/2,569.09,0
Finland,11/4/20,1241.28,0
Finland,12/1/20,890.0,0
Finland,12/16/2,892.8,0
Finland,12/2/20,342.76,0
Finland,12/7/20,-2.08,0
Finland,2/24/20,205.16,0
Finland,3/1/201,4969.22,0
Finland,3/20/20,409.2,0
Finland,3/21/20,-12.2,0
Finland,3/30/20,558.4,0
Finland,4/11/20,373.72,0
Finland,4/15/20,306.2,0
Finland,4/21/20,642.0,0
Finland,4/5/201,367.0,0
Finland,4/7/201,-62.11,0
Finland,6/23/20,329.56,0
Finland,7/14/20,1710.39,0
Finland,7/19/20,653.9,0
Finland,7/5/201,632.44,0
Finland,8/11/20,605.14,0
Finland,8/23/20,-4.95,0
Finland,8/26/20,410.55,0
Finland,8/4/201,360.81,0
Finland,9/13/20,319.6,0
Finland,9/2/201,230.3,0
Finland,9/22/20,245.55,0
Finland,9/25/20,310.0,0
France,1/10/20,1238.06,0
France,1/11/20,1512.64,0
France,1/12/20,1405.68,0
France,1/14/20,1790.43,0
France,1/17/20,732.14,0
France,1/19/20,752.75,0
France,1/20/20,1472.88,0
France,1/21/20,-5.45,0
France,1/23/20,514.5,0
France,1/24/20,190.2,0
France,1/25/20,3.45,0
France,1/27/20,-14.65,0
France,1/28/20,1079.83,0
France,1/31/20,3537.22,0
France,1/5/201,1369.28,0
France,1/6/201,745.02,0
France,1/7/201,1065.09,0
France,1/9/201,114.0,0
France,10/10/2,410.08,0
France,10/11/2,4242.86,0
France,10/12/2,1360.29,0
France,10/13/2,331.72,0
France,10/14/2,452.76,0
France,10/17/2,-3.18,0
France,10/18/2,-2.12,0
France,10/19/2,2792.96,0
France,10/20/2,1056.9,0
France,10/27/2,1103.79,0
France,10/28/2,8990.46,0
France,10/3/20,358.4,0
France,10/30/2,214.74,0
France,10/31/2,485.32,0
France,10/4/20,357.3,0
France,10/5/20,2059.2,0
France,10/6/20,145.2,0
France,10/7/20,675.36,0
France,11/1/20,1829.81,0
France,11/10/2,2128.03,0
France,11/11/2,2225.96,132.95
France,11/13/2,123.08,0
France,11/14/2,1666.42,0
France,11/15/2,809.22,0
France,11/16/2,1575.28,0
France,11/17/2,3254.12,0
France,11/18/2,1072.68,0
France,11/2/20,633.44,0
France,11/20/2,838.71,0
France,11/21/2,397.72,0
France,11/22/2,943.63,0
France,11/23/2,348.38,0
France,11/24/2,1982.67,0
France,11/25/2,1206.31,0
France,11/28/2,733.27,0
France,11/29/2,1339.12,0
France,11/3/20,1567.38,0
France,11/30/2,2752.06,0
France,11/4/20,399.51,0
France,11/7/20,0,288.67
France,11/8/20,1380.27,0
France,11/9/20,1068.82,0
France,12/1/20,1787.25,0
France,12/10/2,1071.9,0
France,12/15/2,195.89,0
France,12/16/2,-8.85,0
France,12/17/2,350.28,0
France,12/2/20,1370.36,0
France,12/20/2,1371.19,0
France,12/21/2,221.28,0
France,12/22/2,110.4,0
France,12/3/20,425.38,0
France,12/4/20,1031.89,0
France,12/5/20,2324.4,0
France,12/6/20,1403.94,0
France,12/7/20,2566.6,0
France,12/8/20,320.25,0
France,12/9/20,2082.03,0
France,2/1/201,510.85,0
France,2/10/20,321.56,0
France,2/14/20,-6.3,0
France,2/15/20,237.6,0
France,2/16/20,901.66,0
France,2/17/20,250.0,0
France,2/18/20,964.4,0
France,2/2/201,641.39,0
France,2/21/20,746.82,0
France,2/22/20,-24.55,0
France,2/23/20,439.76,0
France,2/27/20,110.6,0
France,2/28/20,1451.51,0
France,2/4/201,1236.73,0
France,2/8/201,201.86,0
France,2/9/201,455.02,0
France,3/1/201,1146.26,0
France,3/11/20,712.85,0
France,3/13/20,343.29,0
France,3/14/20,479.4,0
France,3/15/20,550.54,0
France,3/16/20,262.8,0
France,3/20/20,316.02,0
France,3/21/20,205.87,0
France,3/22/20,523.98,0
France,3/23/20,1891.28,0
France,3/25/20,357.91,0
France,3/27/20,164.05,0
France,3/28/20,1136.3,0
France,3/3/201,573.16,0
France,3/31/20,5593.59,0
France,3/4/201,317.25,0
France,3/7/201,-20.4,0
France,3/8/201,-37.25,0
France,4/1/201,382.8,0
France,4/11/20,-38.25,0
France,4/14/20,615.2,0
France,4/17/20,630.22,0
France,4/18/20,-86.0,0
France,4/20/20,541.2,0
France,4/21/20,706.55,0
France,4/26/20,160.54,0
France,4/27/20,-11.9,0
France,4/28/20,209.1,0
France,4/4/201,719.55,0
France,4/5/201,0.0,0
France,4/7/201,366.2,0
France,5/10/20,489.1,0
France,5/11/20,3018.73,0
France,5/12/20,296.53,0
France,5/13/20,1000.51,0
France,5/15/20,151.4,0
France,5/16/20,756.62,0
France,5/17/20,793.62,0
France,5/18/20,869.53,0
France,5/19/20,914.51,0
France,5/20/20,1100.55,0
France,5/22/20,910.71,0
France,5/23/20,421.96,0
France,5/24/20,393.34,0
France,5/25/20,1280.82,0
France,5/26/20,630.5,0
France,5/27/20,403.09,0
France,5/3/201,1823.34,0
France,5/31/20,441.89,0
France,5/5/201,236.0,0
France,5/8/201,1056.43,0
France,5/9/201,537.9,0
France,6/10/20,480.0,0
France,6/12/20,360.18,0
France,6/13/20,2399.62,0
France,6/15/20,1586.67,269.44
France,6/16/20,510.27,0
France,6/17/20,1319.38,0
France,6/19/20,125.46,0
France,6/20/20,734.56,0
France,6/21/20,257.3,0
France,6/22/20,852.44,0
France,6/24/20,634.74,0
France,6/27/20,201.24,0
France,6/28/20,134.28,0
France,6/30/20,-30.0,0
France,6/5/201,3442.51,0
France,6/6/201,371.45,0
France,6/8/201,1311.74,0
France,6/9/201,1030.59,0
France,7/1/201,451.86,0
France,7/11/20,611.08,0
France,7/12/20,1223.85,0
France,7/13/20,915.46,0
France,7/17/20,150.1,0
France,7/18/20,1866.08,0
